"TerrID","FemID","MaleID","Repro","Npups","hs_8km","nterr_50km","area_buffer50km","densTerr_50km","Delta_bfem","sYear","nyears"
99,5,11,1,3,0.562771057128906,1,4036.06158759529,1.94595187994986,1,2002,3
99,5,11,1,5,0.562771057128906,1,4036.06158759529,1.94595187994986,2,2003,4
99,5,11,1,2,0.565866455078125,1,3734.87512180193,2.10287663652466,3,2004,5
103,1,2,1,5,0.508743347167969,2,6425.74219747606,2.44453679982973,1,2005,1
106,3,3,1,5,0.522211059570313,2,4955.94343934237,3.16952028613816,1,2005,1
103,1,2,1,6,0.508743347167969,3,6425.74219747606,3.66680519974459,2,2006,2
106,3,3,1,8,0.522211059570313,3,4955.94343934237,4.75428042920724,2,2006,2
103,1,2,1,8,0.508743347167969,3,6425.74219747606,3.66680519974459,3,2007,3
106,3,3,1,5,0.522211059570313,3,4955.94343934237,4.75428042920724,3,2007,3
103,1,2,1,5,0.508743347167969,6,6425.74219747606,7.33361039948918,4,2008,4
106,3,3,1,8,0.522211059570313,6,4955.94343934237,9.50856085841447,4,2008,4
24,6,9,1,3,0.408742980957031,6,5529.38234958331,8.52245094018468,1,2008,1
93,7,7,1,4,0.400483093261719,6,6571.10051289575,7.17138471879505,1,2008,1
165,41,5,NA,0,0.433695129394531,6,4626.76520502006,10.1850618554659,1,2008,1
155,2,39,1,6,0.336645263671875,7,7283.84186159037,7.54792216559976,1,2009,1
106,3,3,1,8,0.522211059570313,7,4955.94343934237,11.0933210014836,5,2009,5
25,5,10,1,2,0.565866455078125,7,3734.87512180193,14.7201364556726,1,2009,4
24,6,9,1,3,0.408742980957031,7,5529.38234958331,9.94285943021547,2,2009,2
93,7,7,1,3,0.475352569580078,7,6527.18008509716,8.42291322149158,2,2009,2
131,1,4,1,5,0.280007720947266,7,7345.36614639316,7.48470128542435,1,2009,1
3,4,95,1,5,0.49881689453125,1,7850.39343644156,1.00045707231898,1,2009,1
165,41,5,NA,0,0.433695129394531,7,4626.76520502006,11.8825721647103,2,2009,2
155,2,39,1,6,0.336645263671875,7,7283.84186159037,7.54792216559976,2,2010,2
106,3,3,1,4,0.522211059570313,7,4955.94343934237,11.0933210014836,6,2010,6
25,5,10,1,3,0.565866455078125,7,3734.87512180193,14.7201364556726,2,2010,5
24,6,9,1,5,0.408742980957031,7,5529.38234958331,9.94285943021547,3,2010,3
93,7,7,1,5,0.475352569580078,7,6527.18008509716,8.42291322149158,3,2010,3
131,1,4,1,3,0.280007720947266,7,7345.36614639316,7.48470128542435,2,2010,2
3,4,95,1,9,0.49881689453125,2,7850.39343644156,2.00091414463797,2,2010,2
165,41,5,NA,0,0.433695129394531,7,4626.76520502006,11.8825721647103,3,2010,3
68,47,40,NA,0,0.409996978759766,2,7850.39343644149,2.00091414463798,1,2010,1
165,41,5,NA,0,0.433695129394531,10,4626.76520502006,16.9751030924432,4,2011,4
155,53,13,NA,0,0.336645263671875,11,7283.84186159037,11.8610205459425,1,2011,3
68,47,NA,1,6,0.409996978759766,3,7850.39343644149,3.00137121695697,2,2011,2
82,76,80,1,5,0.4084814453125,3,7850.3934364415,3.00137121695697,1,2011,1
84,46,75,1,4,0.475745300292969,6,6666.39828349849,7.06886804535725,1,2011,1
106,3,3,1,4,0.522211059570313,9,4955.94343934237,14.2628412876217,7,2011,7
