"IndID","weeks_date","status","sex","birth_date","birth_year","last_date","death_year","death_month","season","hs_8km_natal","hs_8km_final","nterr_buffer50_first","area_buffer50_first","nterr_dens_buffer50_first","nterr_buffer50_last","area_buffer50_last","nterr_dens_buffer50_last"
1,50,1,"f",2018-05-01,2018,2019-04-21,2018,4,"Winter",0.147236724853516,0.147236724853516,0,7677.27370400665,0,0,7677.27370400665,0
2,61,1,"f",2019-05-01,2019,2020-07-05,2020,7,"Summer",0.19810221862793,0.19810221862793,9,7850.39343644138,9.00411365087105,10,7850.39343644138,10.0045707231901
3,99,1,"m",2019-05-01,2019,2021-03-26,2020,3,"Winter",0.130140380859375,0.130140380859375,2,7850.39343644156,2.00091414463797,3,7850.39343644156,3.00137121695695
4,68,0,"m",2020-05-01,2020,2021-08-25,2021,8,"Summer",0.0869533004760742,0.0869533004760742,5,7850.39343644159,5.0022853615949,5,7850.39343644159,5.0022853615949
5,80,0,"f",2012-05-01,2012,2013-11-17,2013,11,"Winter",0.448219970703125,0.258659088134766,2,7850.39343644164,2.00091414463795,0,7637.0404583398,0
6,39,0,"f",2013-05-01,2013,2014-01-31,2013,1,"Winter",0.533104431152344,0.545041748046875,4,7850.39343644154,4.00182828927594,4,7850.3934364416,4.00182828927591
7,388,1,"f",2012-05-01,2012,2019-10-08,2019,10,"Summer",0.448219970703125,0.383726470947266,2,7850.39343644164,2.00091414463795,22,7850.39343644168,22.0100555910173
8,55,0,"f",2013-05-01,2013,2014-05-21,2014,5,"Summer",0.480482727050781,0.275810821533203,3,7850.3934364417,3.0013712169569,0,5657.28370594586,0
9,389,1,"f",2013-05-01,2013,2020-10-19,2020,10,"Summer",0.480482727050781,0.256359100341797,3,7850.3934364417,3.0013712169569,7,7850.39343644165,7.0031995062328
10,355,0,"f",2014-05-01,2014,2021-02-24,2020,2,"Winter",0.485548095703125,0.350812591552734,6,7850.39343644153,6.00274243391392,19,7850.39343644141,19.008684374061
11,44,1,"m",2014-05-01,2014,2015-03-10,2014,3,"Winter",0.480482727050781,0.201612396240234,4,7850.3934364417,4.00182828927586,0,7091.56485681157,0
12,42,0,"m",2014-05-01,2014,2015-02-21,2014,2,"Winter",0.448219970703125,0.299710113525391,6,7850.39343644164,6.00274243391384,1,7672.65709360756,1.02363256146531
13,91,1,"m",2013-05-01,2013,2015-01-31,2014,1,"Winter",0.480482727050781,0.359913360595703,3,7850.3934364417,3.0013712169569,6,7850.3934364415,6.00274243391395
14,90,1,"f",2014-05-01,2014,2016-01-26,2015,1,"Winter",0.533104431152344,0.393682556152344,6,7850.39343644154,6.00274243391391,7,7850.39343644171,7.00319950623274
15,267,0,"m",2013-05-01,2013,2018-06-18,2018,6,"Summer",0.533104431152344,0.38291796875,4,7850.39343644154,4.00182828927594,18,7850.39343644178,18.0082273017412
16,49,1,"m",2014-05-01,2014,2015-04-15,2014,4,"Winter",0.448219970703125,0.236919403076172,6,7850.39343644164,6.00274243391384,5,7850.39343644149,5.00228536159496
17,96,1,"m",2014-05-01,2014,2016-03-07,2015,3,"Winter",0.448219970703125,0.285717651367188,6,7850.39343644164,6.00274243391384,7,7850.39343644172,7.00319950623273
18,36,1,"m",2014-05-01,2014,2015-01-10,2014,1,"Winter",0.548160095214844,0.412952209472656,6,7850.39343644156,6.0027424339139,6,7850.39343644165,6.00274243391383
19,50,1,"m",2014-05-01,2014,2015-04-21,2014,4,"Winter",0.480482727050781,0.0529069366455078,4,7850.3934364417,4.00182828927586,0,7850.39343644158,0
20,49,0,"f",2014-05-01,2014,2015-04-12,2014,4,"Winter",0.448219970703125,0.448781341552734,6,7850.39343644164,6.00274243391384,6,7850.39343644166,6.00274243391382
21,149,1,"f",2013-05-01,2013,2016-03-15,2015,3,"Winter",0.533104431152344,0.263783355712891,4,7850.39343644154,4.00182828927594,10,7850.39343644156,10.0045707231898
22,107,1,"f",2014-05-01,2014,2016-05-22,2016,5,"Summer",0.448219970703125,0.450938934326172,6,7850.39343644164,6.00274243391384,11,7850.3934364416,11.0050277955087
23,24,1,"m",2015-05-01,2015,2015-10-16,2015,10,"Summer",0.378715698242187,0.289839202880859,7,7850.39343644169,7.00319950623277,7,7850.39343644153,7.00319950623291
24,29,1,"m",2015-05-01,2015,2015-11-26,2015,11,"Winter",0.356144683837891,0.326427276611328,1,6495.47674334878,1.20914629430654,1,6687.46857362053,1.17443267919873
25,112,0,"m",2015-05-01,2015,2017-06-29,2017,6,"Summer",0.356144683837891,0.319465423583984,1,6495.47674334878,1.20914629430654,15,7850.39343644153,15.0068560847848
26,127,1,"m",2015-05-01,2015,2017-10-07,2017,10,"Summer",0.356144683837891,0.181013442993164,1,6495.47674334878,1.20914629430654,1,7155.50201557105,1.09761434164696
27,40,0,"m",2015-05-01,2015,2016-02-08,2015,2,"Winter",0.548160095214844,0.544702453613281,8,7850.39343644156,8.00365657855187,8,7850.39343644164,8.00365657855178
